number	createdAt	wave	title	headRef	url
1624	30/07/2026 04:04:53	aicom	fix(aicom): config ingest ΓÇö paramsArray bounds, funds-sink lobby default, team-cap fallbacks	fix/aicom-config-param-ingest-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1624
1625	30/07/2026 04:05:32	mission-core-r-series	fix(aicom): gate AI_Com_Upgrade research on LINKS (UR-H1)	fix/aicom-config-param-bughunt-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1625
1626	30/07/2026 04:10:13	telemetry-client	fix(markers): unique paraDZ names + ICBM strike marker pre-delete	fix/sqf-marker-object-leaks-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1626
1628	30/07/2026 04:20:07	other	fix(sqf): eventhandler hygiene ΓÇö re-index-safe remove, no double Blink, skin restore	fix/sqf-eh-hygiene-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1628
1629	30/07/2026 04:26:17	aicom	fix(aicom): order-dispatch authority ΓÇö commander/same-side binds for ai-command/request-unit/arty/focus/TeamUpdate	fix/aicom-order-authority-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1629
1631	30/07/2026 04:34:45	alife	fix(alife): despawn budget integrity (HC shells + capture reclaim + GUER mid-sweep)	fix/alife-despawn-budget-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1631
1632	30/07/2026 04:36:47	aicom	fix(aicom): order-dispatch authority ΓÇö same-side bind for reinforce/posture/fieldorder (siblings #1629 missed)	fix/aicom-order-auth-siblings-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1632
1633	30/07/2026 04:46:08	other	fix(economy): funds transfer/donation authority envelope + atomic debit	fix/economy-funds-authority-g1606-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1633
1636	30/07/2026 05:03:32	other	fix(sqf): object/missionNamespace var pollution ΓÇö CBR registry, FPV PV, disconnect keys	fix/sqf-object-var-namespace-g1606-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1636
1641	30/07/2026 05:42:03	other	fix(buyunit): factory/purchase PV authority ΓÇö FOB envelope, sell envelope, BuyUnit class/side/team	fix/buyunit-payload-authority-g1606-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1641
1655	30/07/2026 08:41:58	alife	fix(alife): tear down GUER carrier CAP when the naval HVT is captured	claude/naval-cap-capture-teardown-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1655
1656	30/07/2026 09:05:24	aicom	fix(gdir): wire dead post-wipe suppression timer (ledger[4] read at :220 but never written) [flag AICOMV2_GDIR_SUPPRESS_WIRE default 0]	claude/gdir-suppress-timer-wire-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1656
1660	30/07/2026 10:39:51	alife	fix(alife): town-defender scalar skill wiped sub-skill spread (setSkill order)	claude/alife-town-defender-skill-order-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1660
1661	30/07/2026 10:50:13	combat-content	fix(support): carrier SCUD must debit the firing side's own wallet (team/side bind)	claude/scudstrike-team-side-bind-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1661
1684	30/07/2026 16:33:24	alife	fix(alife): cached-group wakeup restores town patrol/defense fidelity (r32)	fix/alife-wakeup-cache-r32-20260730	https://github.com/rayswaynl/a2waspwarfare/pull/1684
1715	30/07/2026 20:42:13	mission-core-r-series	fix(mission-core): death/observer camera lifecycle teardown residuals (r36)	fix/spectator-observer-camera-lifecycle-r36-g1606	https://github.com/rayswaynl/a2waspwarfare/pull/1715
1738	31/07/2026 02:18:40	mission-core-r-series	fix(alife): rally regroup hold + live dest revalidation (r61)	fix/alife-rally-regroup-r61-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1738
1759	31/07/2026 06:11:43	mission-core-r-series	Fix ICBM radiation dealing zero damage to players (locality)	claude/fix-icbm-radiation-player-locality-r69-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1759
1764	31/07/2026 06:55:43	mission-core-r-series	fix(mission-core): vote/commander authority ΓÇö income percent PVF + transfer bind (r71)	fix/mission-vote-commander-authority-r71-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1764
1765	31/07/2026 06:56:44	other	fix(sqf): vehicle crew seat getIn/getOut lifecycle integrity (r71b)	fix/sqf-crew-seat-getin-getout-r71b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1765
1766	31/07/2026 07:01:07	mission-core-r-series	fix(aicom): HC order rebind on HQ-strike edge-lost recall (r72)	fix/aicom-hqstrike-recall-order-r72-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1766
1769	31/07/2026 07:11:25	mission-core-r-series	fix(aicom): order behaviour/formation/speed mode assignment integrity (r72)	fix/aicom-order-behaviour-formation-speed-r72-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1769
1770	31/07/2026 07:23:42	pathfinding	fix(sqf): radio SideMessage + map marker text + waypoint type + chat/CM fail-clean (r73b)	fix/sqf-radio-marker-waypoint-chat-r73b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1770
1771	31/07/2026 07:25:21	mission-core-r-series	fix(aicom): apply COMBAT/RED air posture AFTER AIPatrol (W13/W22/PatrolAirPass) (r72)	claude/aicom-air-posture-aipatrol-clobber-r72	https://github.com/rayswaynl/a2waspwarfare/pull/1771
1775	31/07/2026 07:44:21	mission-core-r-series	fix(sqf): player vehicle utility actions fail-clean (push/taxi/IR/sell/flip r74)	fix/sqf-player-vehicle-utility-actions-r74-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1775
1776	31/07/2026 07:53:15	mission-core-r-series	fix(sqf): player construction/service actions fail-clean (cancel/eject/MHQ/build r75)	fix/sqf-player-construction-service-actions-r75-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1776
1777	31/07/2026 08:03:49	other	fix(sqf): skill actions + setSkill + daynight + arty shells + endgame score (r76b)	fix/sqf-skill-weather-score-arty-actions-r76b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1777
1778	31/07/2026 08:07:50	mission-core-r-series	fix(aicom): retreat/withdrawal/fallback after town loss (r76)	fix/aicom-retreat-withdrawal-fallback-r76-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1778
1779	31/07/2026 08:14:41	mission-core-r-series	fix(alife): USV boat patrol driver-lost reap + water-only unstuck (r76)	fix/alife-usv-driver-lost-reap-r76-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1779
1780	31/07/2026 08:25:41	mission-core-r-series	fix(alife): USV coastal boat patrol lifecycle integrity (r77)	fix/alife-naval-boat-patrol-lifecycle-r77-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1780
1781	31/07/2026 08:32:31	aicom	fix(aicom): town attack pathfind fail-clean (null leader/hops/camps/path-pos safe r78b)	fix/aicom-town-attack-pathfind-r78b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1781
1782	31/07/2026 08:36:37	mission-core-r-series	fix(mission-core): match stats emission + end-round report integrity (r78)	fix/mission-match-stats-endround-r78-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1782
1783	31/07/2026 08:44:39	mission-core-r-series	fix(mission-core): upgrade UI + queue integrity fail-clean (r79b)	fix/upgrade-ui-queue-r79b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1783
1784	31/07/2026 08:49:42	mission-core-r-series	fix(sqf): trigger/waypoint statement-scope integrity (r79)	fix/sqf-trigger-waypoint-scope-r79-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1784
1785	31/07/2026 08:57:58	mission-core-r-series	fix(aicom): cancel undelivered airlift on order retarget/abort (r78)	fix/aicom-order-cancel-airlift-clear-r78-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1785
1786	31/07/2026 08:58:07	telemetry-client	feat(spectator): v4 streaming pass ΓÇö smooth director cam, fight-gated town cams, autostart + free-cam overhaul	fable/spectator-v4-streaming-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1786
1787	31/07/2026 09:08:09	mission-core-r-series	fix(mission-core): player respawn gear + CM residual + HC PV + barracks queue + AAR detect (r80b)	fix/player-respawn-cm-hc-barracks-radar-r80b-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1787
1788	31/07/2026 09:16:51	mission-core-r-series	fix(alife): air defence / MANPAD static site lifecycle integrity (r80)	fix/alife-airdef-manpad-r80-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1788
1789	31/07/2026 09:55:43	mission-core-r-series	fix(mission-core): UAV terminal control handover lifecycle (r78)	fix/uav-terminal-handover-r78-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1789
1790	31/07/2026 10:02:34	mission-core-r-series	fix(sqf): permanent-daylight clamp on all machines + JIP band fold (r78)	fix/daytime-skiptime-wrap-r78-g1606-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1790
1791	31/07/2026 11:45:50	other	docs: worktree triage report 2026-07-31	triage/worktree-triage-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1791
1792	31/07/2026 16:51:22	other	feat(ops): add -autoInit to server_launch.cmd (cold-boot lobby-idle fix)	kimi/ops-server-launch-autoinit	https://github.com/rayswaynl/a2waspwarfare/pull/1792
1793	31/07/2026 17:33:20	aicom	feat(lane194): victory-pack hold-ticks + HQ-loss winner + roundend flush [flags]	codex/fold-lane194-victory-pack-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1793
1794	31/07/2026 17:33:22	aicom	perf(server): antistack mainLoop active-slice audit (r2 fold)	codex/fold-perf-antistack-aicom-cleaner-r2-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1794
1795	31/07/2026 17:33:24	aicom	fix(aicom): preserve HC team marker feed on leader handoff (map-clarity fold)	codex/fold-map-clarity-team-marker-null-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1795
1796	31/07/2026 21:24:44	telemetry-client	fix(spectator): parenthesise the IsRealPlayer Call so ! does not negate the array	fable/isrealplayer-call-precedence-20260731	https://github.com/rayswaynl/a2waspwarfare/pull/1796
1797	31/07/2026 22:45:06	telemetry-client	fix(lobby): production mission descriptions, and drop the build number that rots	fix/mission-description-evergreen-20260801	https://github.com/rayswaynl/a2waspwarfare/pull/1797
1798	01/08/2026 03:36:14	telemetry-client	feat(caster): Caster 1/2 spectator slots + caster allowlist [flag WFBE_C_CASTER_AUTOSPECTATE default 0]	feat/caster-slots-allowlist-20260801	https://github.com/rayswaynl/a2waspwarfare/pull/1798
1799	01/08/2026 03:43:20	telemetry-client	fold(spectator): v4 streaming stack ΓÇö #1786 (v4/v4.1 free-cam + director) + #1715 (observer lifecycle teardown)	fold/spectator-stack-20260801	https://github.com/rayswaynl/a2waspwarfare/pull/1799
